	WT1	WT2	WT3	PknF_KO1	PknF_KO2	PknF_KO3	PknF_IND1	PknF_IND2	PknF_IND3	PknG_KO1	PknG_KO2	PknG_KO3	PknG_IND1	PknG_IND2	PknG_IND3	PknI_KO1	PknI_KO2	PknI_KO3	PknI_IND1	PknI_IND2	PknI_IND3	PknJ_KO1	PknJ_KO2	PknJ_KO3	PknL_KO1	PknL_KO2	PknL_KO3	WT4	WT5	WT6	PknD_IND1	PknD_IND2	PknD_IND3	PknD_KO1	PknD_KO2	PknD_KO3	PknH_KO1	PknH_KO2	PknH_KO3	PknH_IND1	PknH_IND2	PknH_IND3	PknK_IND1	PknK_IND2	PknK_IND3	PknK_KO1	PknK_KO2	PknK_KO3	WT7	WT8	WT9	PknB_KD1	PknB_KD2	PknB_KD3	PknB_IND1	PknB_IND2	PknB_IND3	PknE_KO1	PknE_KO2	PknE_KO3	PknE_IND1	PknE_IND2	PknE_IND3	PknJ_IND1	PknJ_IND2	PknJ_IND3	WT10	WT11	PknL_IND1	PknL_IND2	PknL_IND3
Rv0001	60.119816	75.16965	50.456886	47.146492	53.55344	73.89529	175.32709	135.53596	199.33105	76.784874	88.07818	64.26757	56.84952	47.894756	76.51995	85.84961	92.025024	102.85474	54.726124	75.460686	60.920933	60.015034	72.99169	63.948906	71.31808	68.059685	76.9601	59.703617	87.30434	64.44845	97.95088	99.33803	73.302246	45.393497	38.155254	41.29791	87.220634	70.61377	71.18851	109.95943	84.597824	80.88122	35.085987	63.19669	45.511517	105.51333	97.5008	115.61306	64.28218	68.2773	78.76145	91.446465	113.394356	112.05169	30.377571	31.782145	23.381062	84.97123	62.53824	119.938286	269.8703	220.25485	254.79222	94.45446	70.60904	75.2133	354.68054	515.30066	299.3033	276.49527	309.29507
Rv0002	35.15682	40.88011	45.524876	34.702023	36.036415	24.83611	111.21008	87.60481	118.69267	40.244522	48.08458	50.717754	27.529228	19.361795	49.082954	51.80598	53.0978	45.341965	58.25858	31.170832	33.65571	37.252106	38.903347	38.08378	40.691547	45.379868	44.752182	28.015528	39.382294	35.348587	38.517258	44.67023	44.63385	30.99742	24.907547	17.777348	27.705925	37.7903	28.198801	32.62361	39.308258	27.91858	13.821404	34.655262	16.347841	30.85882	41.425312	66.7043	30.50461	31.277353	26.793905	82.739815	90.89112	92.49298	11.925756	22.484842	14.915442	24.057243	23.635065	46.118813	226.95758	221.28384	216.30243	82.77036	54.100544	61.492485	265.0576	234.44118	257.25955	247.57147	248.52284
Rv0003	20.17894	25.17936	24.053041	24.56016	22.560802	29.616524	76.91378	75.81648	90.94785	28.241528	27.774948	8.510075	27.013138	21.5389	55.710712	30.060858	23.275103	21.237446	11.74178	5.3062367	26.389677	23.19517	25.74886	19.014685	23.269955	23.415888	17.750092	16.57988	21.682503	14.597013	16.520452	26.624548	37.700394	19.192274	15.918187	19.6276	23.538443	18.110744	30.134531	21.914726	34.025166	21.03076	24.859724	22.741058	23.268167	18.68022	21.001257	20.091358	18.5649	14.102913	22.313148	68.41495	69.897026	70.76574	17.126318	13.090692	21.938293	14.46345	15.076115	12.1128025	88.45187	83.64347	89.25898	50.908264	45.67896	53.72474	79.98978	94.54651	194.44319	201.88857	192.10353
Rv0004	41.726234	37.46207	30.456038	31.840775	41.304195	23.535622	92.256355	76.485794	105.00834	26.535181	26.672411	31.803478	24.482855	49.995495	68.173416	40.617214	41.704678	25.354515	8.610574	43.114513	34.747063	41.335583	34.797512	37.354313	39.96703	30.43787	34.58007	43.95438	45.524876	58.59011	43.332	53.723763	30.23986	57.57205	30.163048	28.777905	31.420418	20.743048	31.937428	22.36107	52.63837	28.141808	33.720158	42.90947	31.99078	25.425354	22.227795	33.39137	31.337086	42.980125	27.670578	68.66317	68.53921	68.11088	17.540493	18.752573	39.005142	17.62872	11.235872	15.005246	95.0585	73.699234	100.17437	67.76587	60.60104	55.313477	65.03771	60.732983	198.49913	195.11942	206.07007
Rv0005	662.6592	799.4957	733.4277	778.7958	816.47473	886.6698	1489.0825	1644.7938	1685.0824	748.9768	769.7079	661.3649	968.3572	885.8227	1206.5875	1156.8679	1044.5392	1021.34607	622.3599	729.41785	520.4724	745.9326	809.2041	643.7636	913.42194	835.2878	813.40356	671.1938	759.8356	749.2436	1300.6545	1162.6173	1088.5958	326.43375	474.01855	420.64426	894.66	712.5562	837.7211	745.36896	792.81055	600.1008	210.96733	500.6803	349.30383	231.41621	270.64084	288.5648	698.71875	839.2045	763.31104	824.11914	770.9305	825.83496	367.8621	333.04324	273.37195	470.51462	348.25778	479.86475	757.8898	650.7914	657.9444	425.7016	394.16928	402.70914	444.99573	484.18848	583.0256	623.49677	490.8967
Rv0006	251.7638	288.9448	245.08505	355.34497	369.10452	399.85217	881.781	965.7987	965.7987	380.8247	392.80347	310.0247	344.00195	312.74905	400.26456	464.85022	404.28937	443.7226	289.44882	281.59204	172.58415	276.20074	293.1143	206.33206	357.49622	320.29282	332.9887	248.03021	290.43097	235.69688	487.91864	443.62317	468.24298	184.62561	210.9509	203.51326	370.1422	326.9203	371.66528	187.8212	189.67871	154.20378	124.1844	193.40308	180.64302	114.959625	144.73277	137.44153	256.79834	290.43097	222.9416	575.8219	539.885	562.193	195.70776	147.13287	170.51883	116.76724	120.20916	129.62376	369.2339	368.09958	482.81223	286.61407	218.6332	251.1716	617.2464	646.01184	700.9739	754.17554	781.67303
Rv0007	114.64313	124.58812	88.40557	92.59201	114.17787	126.81868	383.5895	398.9591	477.87408	144.53595	167.7763	147.6182	66.48472	81.02115	58.21238	161.4968	134.79616	126.69624	59.031937	73.63173	95.22104	119.399796	111.291245	90.34562	143.93083	119.82808	148.76338	116.09881	87.57482	95.58591	189.90715	196.2954	165.04286	94.14457	131.36975	110.56181	145.48335	146.2249	141.666	65.95368	60.852867	57.792374	85.37883	70.065445	94.40894	95.35469	102.60393	108.038956	128.41339	91.26135	109.040344	347.7988	364.52255	333.3248	81.40179	61.755646	77.241295	59.15366	71.274345	52.314613	182.22838	182.8583	329.75787	195.47821	166.28334	184.58432	236.2837	227.2542	390.10065	445.47754	384.48834
Rv0008c	66.878746	63.672024	61.479668	64.04164	69.95467	35.03969	70.41586	73.44898	74.63528	37.936752	37.472145	44.09761	50.863968	59.659016	74.24762	50.974007	52.634106	31.491379	67.76965	31.069433	55.4035	60.817566	48.752583	73.948074	58.689274	62.48626	70.636086	67.03128	70.16576	100.89403	41.16414	16.07452	28.25404	65.74101	52.268	48.76832	60.117508	72.7489	56.091404	53.975464	57.870777	44.830124	35.957638	50.121662	54.37519	74.337585	77.92862	57.826485	32.894077	58.35491	42.72055	78.529755	85.660774	84.60013	27.50035	48.215717	39.61266	62.39551	45.318222	83.71293	92.27611	93.17313	98.073456	72.69131	90.74608	86.72073	34.501507	34.3324	79.893745	74.001	75.673485
Rv0009	290.43097	305.22778	364.6377	273.58917	289.34283	329.48798	310.37695	248.21523	337.206	174.518	224.56483	175.66417	241.84764	177.93756	196.5743	284.04892	324.4078	340.1719	251.6629	302.38113	250.48174	296.4058	301.23648	398.66168	261.8148	306.14633	252.1059	354.68054	443.71252	425.8988	82.047386	74.311386	70.09246	126.857704	183.96887	168.2961	251.86913	263.18967	362.41086	441.76135	435.19122	439.5441	83.80173	126.3665	83.40105	248.53226	211.72961	211.72961	255.5726	214.10463	334.42877	179.38705	185.5951	173.08022	238.30405	179.5494	128.61017	188.85223	151.37361	258.04395	460.297	417.5372	749.4228	352.99847	285.38544	302.29044	256.0047	298.63193	810.028	767.8126	585.32306
Rv0010c	124.77334	126.4528	128.32301	125.97808	139.21263	139.01765	257.59488	222.29419	301.74722	121.38971	144.95274	116.294365	88.63156	72.79778	92.14	155.57794	159.07472	143.2034	85.4886	124.57609	86.76749	132.60994	135.43877	167.41678	136.01001	149.20149	157.56882	95.83153	130.71591	132.10161	68.03293	59.266106	66.6866	95.335655	94.012474	86.12048	143.72917	151.86768	174.19667	281.08466	301.69733	237.0517	45.260063	84.4433	66.8534	93.798225	91.23585	106.12631	123.63898	132.45409	153.34354	110.14117	113.87001	115.55269	96.19441	129.05583	83.24818	118.05631	120.96953	129.44057	215.42282	198.64026	278.52438	134.5854	163.31639	146.01259	79.208176	105.60713	450.26294	434.59302	404.7456
