,simple_bounds,subset_model,fva_model,milp_model
PknB_IND,2.705976671942033,1.0,0.0,
PknB_KD,2.705976671942026,0.9999999999999997,0.0,
PknD_IND,1.8780556176914902,1.7108810027878514,0.0,
PknD_KO,2.7059766719420297,1.0,0.0,
PknE_IND,3.760484258263339,1.3896957417465468,0.0,
PknE_KO,2.7059766719420297,0.9999999999999999,0.0,
PknF_IND,3.301787901427752,4.670967208632453,0.0,
PknF_KO,2.7059766719420346,0.9999999999999999,0.0,
PknG_IND,2.7059766719420204,0.9999999999999971,0.0,
PknG_KO,2.7059766719420297,1.0,0.0,
PknH_IND,2.705976671942038,1.0,0.0,
PknH_KO,2.7059766719420204,1.0,0.0,
PknJ_IND,9.710227626716938,3.588437301548532,0.0,
PknJ_KO,2.7059766719420284,1.0000000000000013,0.0,
PknK_IND,2.7059766719420137,1.0,0.0,
PknK_KO,2.705976671942023,0.9999999999999997,0.0,
PknL_IND,6.434134120097309,2.377749293559005,0.0,
PknL_KO,2.7059766719420297,0.9999999999999999,0.0,
