,simple_bounds,subset_model,fva_model,milp_model
PknB_IND,0.0013613054374623098,0.001361305437462309,0.0,0.0
PknB_KD,0.0013613054374623066,0.0013613054374623085,0.0,0.0
PknD_IND,0.0009448002086378777,0.00232903161194607,0.0,0.0
PknD_KO,0.0013613054374623083,0.001361305437462309,0.0,0.0
PknE_IND,0.0018918003696577939,0.0018918003696577908,0.0,0.0
PknE_KO,0.0013613054374623083,0.0013613054374623087,0.0,0.0
PknF_IND,0.0016610423401525738,0.006358613059319501,0.0,0.0
PknF_KO,0.0013613054374623107,0.0013613054374623087,0.0,0.0
PknG_IND,0.0013613054374623035,0.001361305437462305,0.0,0.0
PknG_KO,0.0013613054374623083,0.001361305437462309,0.0,0.0
PknH_IND,0.0013613054374623126,0.001361305437462309,0.0,0.0
PknH_KO,0.0013613054374623035,0.001361305437462309,0.0,0.0
PknJ_IND,0.004884959210590591,0.004884959210590591,0.0,0.0
PknJ_KO,0.0013613054374623076,0.0013613054374623107,0.0,0.0
PknK_IND,0.0013613054374623003,0.001361305437462309,0.0,0.0
PknK_KO,0.001361305437462305,0.0013613054374623085,0.0,0.0
PknL_IND,0.003236843042244036,0.003236843042244038,0.0,0.0
PknL_KO,0.0013613054374623083,0.0013613054374623087,0.0,0.0
WT,0.0005030736042840031,0.001361305437462309,0.001361305438049168,0.0
