,WT,PknB_KD,PknB_IND,PknD_KO,PknD_IND,PknE_KO,PknE_IND,PknF_KO,PknF_IND,PknG_KO,PknG_IND,PknH_KO,PknH_IND,PknJ_KO,PknJ_IND,PknK_KO,PknK_IND,PknL_KO,PknL_IND
Rv1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3290c,0.0,0.0006832795809611576,0.0007048809318956373,0.0,0.0,0.0007061674028130717,0.0007048809320083297,0.0,0.0,0.000704880931872908,0.0,0.0,0.0024717053327002057,0.0007048809319184109,0.0,0.0007061674029772096,0.0007461447892553399,0.0007048809319168688,0.0024733196676903
Rv2589,0.0,0.0006832795809625444,0.0007048809319136374,0.0,0.0,0.0007061674028143854,0.0007048809319884538,0.0,0.0,0.0007048809319080303,0.0,0.0,0.002471705332582267,0.0007048809319168458,0.0,0.0007061674028172977,0.0007461447892642471,0.0007048809319943751,0.002473319667690301
Rv1323,0.0,0.0006832795809687659,0.0007048809318297719,0.0,0.0,0.0007061674028087687,0.0007048809319198627,0.0,0.0,0.0007048809319192485,0.0,0.0,0.0024717053327192083,0.0007048809319136424,0.0,0.0007061674028115752,0.0007461447892424012,0.0007048809319192449,0.0024733196676959236
Rv3535c,0.0,0.0006832795809627453,0.0007048809318956394,0.0,0.0,0.000706167402816833,0.0007048809319182873,0.0,0.0,0.0007048809319401785,0.0,0.0,0.002471705332697089,0.0007048809319183197,0.0,0.0007061674028137681,0.0007461447892569068,0.0007048809319183028,0.002473319667694514
Rv0254c,0.0,0.000683279580968182,0.0007048809319174525,0.0,0.0,0.000706167402818608,0.0007048809319192468,0.0,0.0,0.0007048809317522984,0.0,0.0,0.0024717053326952193,0.0007048809319080303,0.0,0.0007061674028256277,0.0007461447892628685,0.0007048809319248617,0.0024733196676521487
Rv3280,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0904c,0.0,0.0006832795809633322,0.0007048809319194468,0.0,0.0,0.0007061674028137595,0.0007048809319183266,0.0,0.0,0.0007048809319184497,0.0,0.0,0.0024717053326966765,0.000704880931919246,0.0,0.0007061674028115791,0.0007461447892781974,0.0007048809319183404,0.002473319667692527
Rv3281,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3441c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1654,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Rv2747,0.0,0.0006832795809164582,0.000704880931919251,0.0,0.0,0.0007061674028157114,0.0007048809319206496,0.0,0.0,0.0007048809318960901,0.0,0.0,0.002471705332693215,0.0007048809319248586,0.0,0.0007061674028256257,0.0007461447892530086,0.0007048809319094333,0.002473319667690302
Rv1653,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Rv0409,,,,,,,,,,,0.0,,0.002300458210965987,,,,,,0.0023018565398071206
Rv1820,0.0,0.000683279580954816,0.0007048809319136403,0.0,0.0,0.000706167402813428,0.0007048809319125364,0.0,0.0,0.0007048809319177371,0.0,0.0,0.0024717053326968937,0.0007048809319192421,0.0,0.0007061674028143894,0.000746144789256825,0.0007048809319190546,0.00247331966769238
Rv3509c,0.0,0.000683279580958478,0.0007048809319637914,0.0,0.0,0.00070616740281439,0.0007048809319191751,0.0,0.0,0.0007048809319217477,0.0,0.0,0.0024717053326965043,0.0007048809319192467,0.0,0.0007061674027223344,0.0007461447892572499,0.0007048809318954886,0.002473319667681864
Rv3002c,0.0,0.0006832795809767321,0.0007048809319595813,0.0,0.0,0.0007061674028566324,0.0007048809319248696,0.0,0.0,0.0007048809319136401,0.0,0.0,0.00247170533270022,0.0007048809319156429,0.0,0.0007061674026202227,0.0007461447892623392,0.0007048809319176511,0.0024733196676038098
Rv3003c,0.0,0.0006832795809633322,0.0007048809319194468,0.0,0.0,0.0007061674028137595,0.0007048809319183266,0.0,0.0,0.0007048809319184497,0.0,0.0,0.0024717053326966765,0.000704880931919246,0.0,0.0007061674028115791,0.0007461447892781974,0.0007048809319183404,0.002473319667692527
Rv3470c,0.0,0.0006832795809617791,0.0007048809319192488,0.0,0.0,0.0007061674028139986,0.0007048809319183287,0.0,0.0,0.0007048809320090335,0.0,0.0,0.002471705332696671,0.0007048809319178469,0.0,0.000706167402812983,0.0007461447892555503,0.0007048809319183443,0.0024733196676902875
Rv2922A,0.0,0.0006832795809666458,0.0007048809320974174,0.0,0.0,0.0007061674027983386,0.0007048809319416826,0.0,0.0,0.0007048809319416827,0.0,0.0,0.002471705332694937,0.0007048809320974196,0.0,0.0007061674028143892,0.0007461447892568213,0.0007048809320862678,0.002473319667694521
Rv1475c,,,,,,,,,,,0.0,,,,,,,,
Rv1655,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Rv3310,0.0,0.000683279580961202,0.0007048809318948735,0.0,0.0,0.0007061674028143855,0.0007048809319135685,0.0,0.0,0.0007048809319064282,0.0,0.0,0.0024717053326109785,0.0007048809319164594,0.0,0.0007061674028147916,0.0007461447892553396,0.0007048809319183501,0.0024733196676903
Rv2523c,0.0,0.000683279580962261,0.0007048809319117017,0.0,0.0,0.000706167402826675,0.0007048809319088314,0.0,0.0,0.0007048809319173214,0.0,0.0,0.0024717053327184134,0.0007048809319184629,0.0,0.0007061674028154395,0.0007461447892598996,0.0007048809319192485,0.002473319667694321
Rv3667,0.0,0.0006832795809625566,0.0007048809319157459,0.0,0.0,0.0007061674028139588,0.0007048809319183684,0.0,0.0,0.0007048809320083359,0.0,0.0,0.002471705332696384,0.0007048809319080301,0.0,0.0007061674028200098,0.0007461447892778555,0.0007048809319183423,0.0024733196676945185
Rv3313c,0.0,0.0006832795808470691,0.0007048809319174506,0.0,0.0,0.0007061674028481071,0.0007048809318735007,0.0,0.0,0.0007048809319136424,0.0,0.0,0.0024717053327002196,0.0007048809317995023,0.0,0.0007061674028134891,0.0007461447892568239,0.0007048809319024183,0.0024733196676728795
Rv0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2236c,0.0,0.0006832795808451262,0.0007048809319176488,0.0,0.0,0.0007061674028097812,0.0007048809319191749,0.0,0.0,0.0007048809319187189,0.0,0.0,0.002471705332666501,0.0007048809319416827,0.0,0.0007061674028142903,0.0007461447892597945,0.0007048809320111355,0.002473319667693105
Rv1005c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0255c,0.0,0.0006832795809627453,0.0007048809318956394,0.0,0.0,0.000706167402816833,0.0007048809319182873,0.0,0.0,0.0007048809319401785,0.0,0.0,0.002471705332697089,0.0007048809319183197,0.0,0.0007061674028137681,0.0007461447892569068,0.0007048809319183028,0.002473319667694514
Rv2848c,0.0,0.0006832795809633322,0.0007048809319194468,0.0,0.0,0.0007061674028137595,0.0007048809319183266,0.0,0.0,0.0007048809319184497,0.0,0.0,0.0024717053326966765,0.000704880931919246,0.0,0.0007061674028115791,0.0007461447892781974,0.0007048809319183404,0.002473319667692527
Rv0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1625c,0.0,0.0006832795808721215,0.0007048809319136382,0.0,0.0,0.0007061674028043345,0.0007048809319186136,0.0,0.0,0.0007048809319416849,0.0,0.0,0.002471705332697629,0.0007048809319178475,0.0,0.0007061674028129828,0.0007461447892546986,0.000704880931919248,0.0024733196676918
Rv2212,0.0,0.0006832795809582924,0.0007048809319192481,0.0,0.0,0.0007061674028157946,0.0007048809319128358,0.0,0.0,0.0007048809319184608,0.0,0.0,0.002471705332692997,0.0007048809318273617,0.0,0.0007061674028031486,0.0007461447892432506,0.000704880931920639,0.0024733196677432586
Rv1900c,0.0,0.0006832795809627428,0.0007048809319146409,0.0,0.0,0.0007061674028127714,0.0007048809319416829,0.0,0.0,0.0007048809319192667,0.0,0.0,0.002471705332717063,0.0007048809319192449,0.0,0.0007061674028092603,0.0007461447892477056,0.0007048809319192467,0.002473319667673481
Rv1264,0.0,0.0006832795809687659,0.0007048809319192506,0.0,0.0,0.0007061674028087687,0.0007048809319243807,0.0,0.0,0.0007048809319170568,0.0,0.0,0.0024717053326913335,0.0007048809319192467,0.0,0.0007061674028088352,0.0007461447892438881,0.0007048809319192449,0.002473319667684686
Rv1320c,0.0,0.0006832795809611668,0.0007048809318954311,0.0,0.0,0.0007061674028132699,0.0007048809322868023,0.0,0.0,0.0007048809319168495,0.0,0.0,0.00247170533269708,0.0007048809319164452,0.0,0.0007061674028114838,0.000746144789255546,0.0007048809319170342,0.0024733196676959327
Rv1318c,0.0,0.0006832795809384889,0.000704880931917648,0.0,0.0,0.0007061674028031529,0.0007048809319164832,0.0,0.0,0.0007048809319631975,0.0,0.0,0.0024717053327002205,0.0007048809318956048,0.0,0.0007061674028172105,0.0007461447892568263,0.0007048809319080289,0.002473319667712778
Rv1319c,0.0,0.0006832795808721205,0.0007048809319174641,0.0,0.0,0.0007061674028111894,0.0007048809319304686,0.0,0.0,0.000704880931912233,0.0,0.0,0.002471705332694586,0.0007048809319203487,0.0,0.0007061674028159892,0.0007461447893467736,0.0007048809319164334,0.0024733196676925335
Rv3377c,0.0,0.000683279580961202,0.0007048809318948735,0.0,0.0,0.0007061674028143855,0.0007048809319135685,0.0,0.0,0.0007048809319064282,0.0,0.0,0.0024717053326109785,0.0007048809319164594,0.0,0.0007061674028147916,0.0007461447892553396,0.0007048809319183501,0.0024733196676903
Rv2435c,0.0,0.0006832795809578899,0.0007048809319637914,0.0,0.0,0.00070616740281439,0.0007048809319191751,0.0,0.0,0.0007048809318761076,0.0,0.0,0.002471705332696513,0.0007048809319192488,0.0,0.0007061674027223344,0.0007461447892566935,0.0007048809319304679,0.002473319667681864
Rv1647,0.0,0.0006832795809624056,0.0007048809319304687,0.0,0.0,0.0007061674028134041,0.0007048809319183381,0.0,0.0,0.0007048809319182536,0.0,0.0,0.0024717053326968387,0.0007048809319182985,0.0,0.0007061674028134621,0.0007461447892570742,0.0007048809319192508,0.002473319667692371
Rv1120c,0.0,0.0006832795807876789,0.0007048809320095644,0.0,0.0,0.0007061674028087686,0.0007048809319607875,0.0,0.0,0.0007048809319192467,0.0,0.0,0.002471705332675737,0.0007048809318335694,0.0,0.0007061674028095094,0.0007461447892597958,0.0007048809320108344,0.002473319667712779
Rv2202c,0.0,0.000682478129727891,0.000704454225977327,0.0,0.0,0.0007057391385369593,0.0007044542261722033,0.0,0.0,0.0007044542261609938,0.0,0.0,0.002470206263035868,0.0007044542261469741,0.0,0.0007057391385385637,0.0007456666789484723,0.0007044542261834181,
Rv2208,0.0,0.000683279581166347,0.0007048809319413953,0.0,0.0,0.0007061674028127846,0.0007048809319176488,0.0,0.0,0.0007048809319154453,0.0,0.0,0.0024717053326861523,0.0007048809319192467,0.0,0.0007061674028133855,0.0007461447892583071,0.000704880931916843,0.002473319667693117
Rv2584c,0.0,0.0006831781776294954,0.0007047730163319896,0.0,0.0,0.0007060590929021777,0.0007047730161761525,0.0,0.0,0.000704773016173499,0.0,0.0,0.0024713262111191008,0.0007047730161680857,0.0,0.0007060590928303175,0.0007460238699559005,0.0007047730161561729,0.002473319667691707
Rv1285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0
Rv0777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0357c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3332,0.0,,0.0007048809319184504,0.0,0.0,0.0007061674028135981,0.0007048809319177374,0.0,0.0,0.0007048809319181737,0.0,0.0,0.00247170533269669,0.0007048809319192467,0.0,0.0007061674028180122,0.0007461447892572476,0.0007048809319182796,0.002473319667692084
Rv2182c,0.0,0.0006832795809402891,0.000704880931919249,0.0,0.0,0.0007061674028154417,0.000704880931906891,0.0,0.0,0.0007048809319192447,0.0,0.0,0.002471705332696509,0.0007048809319623756,0.0,0.0007061674028119709,0.0007461447892568276,0.0007048809319192447,0.0024733196676903074
Rv2483c,0.0,0.0006832795809625566,0.0007048809319157459,0.0,0.0,0.0007061674028139588,0.0007048809319183684,0.0,0.0,0.0007048809320083359,0.0,0.0,0.002471705332696384,0.0007048809319080301,0.0,0.0007061674028200098,0.0007461447892778555,0.0007048809319183423,0.0024733196676945185
Rv1652,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
Rv3248c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0091,0.0,0.0006832795809625932,0.0007048809319184455,0.0,0.0,0.0007061674028135872,0.0007048809319227235,0.0,0.0,0.0007048809319181629,0.0,0.0,0.002471705332696696,0.0007048809319136407,0.0,0.0007061674028152905,0.0007461447892572503,0.0007048809319182968,0.002473319667692494
Rv0423c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3276c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3257c,0.0,0.0006832795809384889,0.000704880931917648,0.0,0.0,0.0007061674028031529,0.0007048809319164832,0.0,0.0,0.0007048809319631975,0.0,0.0,0.0024717053327002205,0.0007048809318956048,0.0,0.0007061674028172105,0.0007461447892568263,0.0007048809319080289,0.002473319667712778
Rv3275c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2215,0.0,0.000683279581166347,0.0007048809319413953,0.0,0.0,0.0007061674028127889,0.0007048809319176488,0.0,0.0,0.0007048809319192449,0.0,0.0,0.0024717053326889765,0.0007048809319151371,,0.0007061674028133834,0.0007461447892583071,0.000704880931909214,0.00247331966787453
Rv3330,0.0,0.0006832795809384935,0.0007048809319192452,0.0,0.0,0.0007061674028143895,0.0007048809319121777,0.0,0.0,0.0007048809319052231,0.0,0.0,0.0024717053326945883,0.0007048809319304665,0.0,0.0007061674029064438,0.0007461447892583067,0.0007048809319030321,0.002473319667603796
Rv2981c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2780,0.0,0.0006832795807743046,0.0007048809320111377,0.0,0.0,0.0007061674028127846,0.0007048809319192447,0.0,0.0,0.0007048809319192508,0.0,0.0,0.00247170533270022,0.0007048809320083315,0.0,0.0007061674028087708,0.0007461447892555433,0.0007048809319086895,0.0024733196676959383
Rv3423c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2259,0.0,0.0006832795809610148,0.0007048809319184158,0.0,0.0,0.0007061674028181409,0.0007048809319182478,0.0,0.0,0.0007048809319416831,0.0,0.0,0.0024717053326966804,0.0007048809318948966,0.0,0.000706167402813466,0.0007461447892569127,0.0007048809319182408,0.002473319667692544
Rv1895,0.0,0.0006832795809578926,0.000704880932005533,0.0,0.0,0.0007061674028143916,0.0007048809319227665,0.0,0.0,0.0007048809318737187,0.0,0.0,0.002471705332696523,0.0007048809319175485,0.0,0.0007061674027223328,0.0007461447892566935,0.0007048809319192502,0.002473319667681864
Rv3045,0.0,0.0006832795809556932,0.0007048809319164576,0.0,0.0,0.0007061674027960672,0.0007048809319839691,0.0,0.0,0.0007048809319164405,0.0,0.0,0.0024717053326952123,0.000704880931875109,0.0,0.0007061674028065611,0.0007461447892392233,0.0007048809319220548,0.002473319667677481
Rv2858c,0.0,0.0006832795809578899,0.0007048809319637914,0.0,0.0,0.00070616740281439,0.0007048809319191751,0.0,0.0,0.0007048809318761076,0.0,0.0,0.002471705332696513,0.0007048809319192488,0.0,0.0007061674027223344,0.0007461447892566935,0.0007048809319304679,0.002473319667681864
Rv0458,0.0,0.0006832795809664551,0.000704880931919251,0.0,0.0,0.0007061674028157114,0.0007048809319206531,0.0,0.0,0.0007048809318944783,0.0,0.0,0.0024717053326931953,0.0007048809319248586,0.0,0.0007061674028153952,0.0007461447892530065,0.0007048809319100342,0.002473319667690302
Rv0768,0.0,0.0006832795809687659,0.0007048809319192506,0.0,0.0,0.0007061674028087687,0.0007048809319243807,0.0,0.0,0.0007048809319170568,0.0,0.0,0.0024717053326913335,0.0007048809319192467,0.0,0.0007061674028088352,0.0007461447892438881,0.0007048809319192449,0.002473319667684686
Rv0147,0.0,0.0006832795809633322,0.0007048809319194468,0.0,0.0,0.0007061674028137595,0.0007048809319183266,0.0,0.0,0.0007048809319184497,0.0,0.0,0.0024717053326966765,0.000704880931919246,0.0,0.0007061674028115791,0.0007461447892781974,0.0007048809319183404,0.002473319667692527
Rv3293,0.0,0.0006832795807743092,0.0007048809320111377,0.0,0.0,0.0007061674028087711,0.0007048809319192447,0.0,0.0,0.0007048809319192506,0.0,0.0,0.0024717053327002136,0.0007048809320083315,0.0,0.0007061674028087707,0.0007461447892557611,0.0007048809319086895,0.0024733196676959383
Rv1568,0.0,0.0006832795809578926,0.000704880932005533,0.0,0.0,0.0007061674028143916,0.0007048809319227665,0.0,0.0,0.0007048809318737187,0.0,0.0,0.002471705332696523,0.0007048809319175485,0.0,0.0007061674027223328,0.0007461447892566935,0.0007048809319192502,0.002473319667681864
Rv2363,0.0,0.0006832795809440841,0.0007048809318273637,0.0,0.0,0.000706167402813402,0.0007048809318740829,0.0,0.0,0.0007048809319184273,0.0,0.0,0.00247170533268335,0.0007048809319186571,0.0,0.0007061674026358941,0.0007461447892583107,0.0007048809319186187,0.0024733196676903087
Rv2467,0.0,0.0006832795809674312,0.0007048809319180553,0.0,0.0,0.0007061674028087701,0.0007048809319304685,0.0,0.0,0.0007048809319192428,0.0,0.0,0.002471705332698815,0.0007048809319304667,0.0,0.0007061674028031508,0.0007461447892514123,0.0007048809319176606,0.0024733196676846657
Rv2192c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1569,0.0,0.000683279580954816,0.0007048809319136403,0.0,0.0,0.000706167402813428,0.0007048809319125364,0.0,0.0,0.0007048809319177371,0.0,0.0,0.0024717053326968937,0.0007048809319192421,0.0,0.0007061674028143894,0.000746144789256825,0.0007048809319190546,0.00247331966769238
Rv0032,0.0,0.0006832795808470691,0.0007048809319174506,0.0,0.0,0.0007061674028481071,0.0007048809318735007,0.0,0.0,0.0007048809319136424,0.0,0.0,0.0024717053327002196,0.0007048809317995023,0.0,0.0007061674028134891,0.0007461447892568239,0.0007048809319024183,0.0024733196676728795
Rv2671,0.0,0.0006832795809433521,0.0007048809319384498,0.0,0.0,0.000706167402807574,0.0007048809319054457,0.0,0.0,0.0007048809319124417,0.0,0.0,0.002471705332683351,0.0007048809319304644,0.0,0.0007061674028129824,0.0007461447892576719,0.0007048809319192492,0.002473319667690287
Rv2531c,0.0,0.0006832795809606165,0.0007048809319080304,0.0,0.0,0.0007061674027927806,0.0007048809319246581,0.0,0.0,0.0007048809320055276,0.0,0.0,0.002471705332697402,0.0007048809319304665,0.0,0.0007061674028143932,0.0007461447889410564,0.000704880931924859,0.002473319667692997
Rv1001,0.0,0.0006832795809622596,0.0007048809319182846,0.0,0.0,0.000706167402813436,0.0007048809319182831,0.0,0.0,0.0007048809319182947,0.0,0.0,0.0024717053326968577,0.0007048809319182947,0.0,0.0007061674028134244,0.0007461447892570714,0.0007048809319182878,0.0024733196676925556
Rv1659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2320c,0.0,0.0006832795809617791,0.0007048809319192488,0.0,0.0,0.0007061674028139986,0.0007048809319183287,0.0,0.0,0.0007048809320090335,0.0,0.0,0.002471705332696671,0.0007048809319178469,0.0,0.000706167402812983,0.0007461447892555503,0.0007048809319183443,0.0024733196676902875
Rv3708c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1538c,0.0,0.0006832795809674066,0.0007048809319304666,0.0,0.0,0.000706167402993934,0.0007048809319897541,0.0,0.0,0.0007048809319092137,0.0,0.0,0.0024717053326081544,0.0007048809319192485,0.0,0.0007061674028143877,0.0007461447892431488,0.0007048809319176606,0.00247331966769453
Rv2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
