,WT,PknB_KD,PknB_IND,PknD_KO,PknD_IND,PknE_KO,PknE_IND,PknF_KO,PknF_IND,PknG_KO,PknG_IND,PknH_KO,PknH_IND,PknJ_KO,PknJ_IND,PknK_KO,PknK_IND,PknL_KO,PknL_IND
Rv1295,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rv2573,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rv3290c,,0.9999999999981946,0.9999999999678507,,,0.9999999999994844,1.000000000127731,,,0.9999999999356056,,,1.0000000000013602,1.0000000000001619,,1.0000000002319136,0.9999999999976653,0.999999999997974,0.9999999999990932
Rv2589,,1.0000000000002243,0.999999999993387,,,1.0000000000013447,1.0000000000995333,,,0.999999999985433,,,0.9999999999536449,0.9999999999979415,,1.0000000000054632,1.000000000009603,1.0000000001079306,0.9999999999990935
Rv1323,,1.0000000000093294,0.9999999998744088,,,0.999999999993391,1.0000000000022247,,,1.000000000001348,,,1.0000000000090483,0.9999999999933968,,0.9999999999973596,0.9999999999803245,1.0000000000013447,1.000000000001367
Rv3535c,,1.0000000000005183,0.9999999999678536,,,1.0000000000048108,0.9999999999999896,,,1.000000000031041,,,1.0000000000000993,1.0000000000000324,,1.000000000000465,0.9999999999997653,1.0000000000000082,1.000000000000797
Rv0254c,,1.000000000008475,0.9999999999987993,,,1.0000000000073244,1.0000000000013507,,,0.9999999997644994,,,0.9999999999993429,0.9999999999854351,,1.0000000000172593,1.0000000000077554,1.0000000000093132,0.999999999983668
Rv3280,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rv0904c,,1.0000000000013771,1.0000000000016287,,,1.0000000000004585,1.0000000000000453,,,1.0000000000002147,,,0.9999999999999325,1.0000000000013467,,0.9999999999973651,1.0000000000282994,1.0000000000000617,0.9999999999999936
Rv3281,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rv3441c,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Rv1302,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
